Front,Back
Yaya sunanki?,Yaya sunanki?
What is your name? (woman),What is your name? (woman)
Yaya sunanka?,Yaya sunanka?
What is your name? (man),What is your name? (man)
Salamu alaikum,Salamu alaikum
Peace be with you,Peace be with you
Ina kwana?,Ina kwana?
How was the night?,How was the night?
Lafiya lau,Lafiya lau
Just fine,Just fine
Ina wuni?,Ina wuni?
How was the day?,How was the day?
Ina gajiya?,Ina gajiya?
How's the tiredness?,How's the tiredness?
Ba gajiya?,Ba gajiya?
There is no tiredness,There is no tiredness
Ina labari?,Ina labari?
What is the news?,What is the news?
Labari sai alheri,Labari sai alheri
The news is nothing but good fortune,The news is nothing but good fortune
Yaya aiki?,Yaya aiki?
How is the work?,How is the work?
Aiki da godiya,Aiki da godiya
Work is with thanks to Allah,Work is with thanks to Allah
Yaya iyali?,Yaya iyali?
How is the family?,How is the family?
Iyali lafiya,Iyali lafiya
The family is fine,The family is fine
Yaya gida?,Yaya gida?
How is the household?,How is the household?
Yaya ruwa?,Yaya ruwa?
How is the rain?,How is the rain?
Ruwa ya yi gyara,Ruwa ya yi gyara
Water makes repairs,Water makes repairs
Yaya gumi?,Yaya gumi?
How is the heat?,How is the heat?
Gumi lokacinsa ne,Gumi lokacinsa ne
"Hot weather, its the time for it","Hot weather, its the time for it"
Sannu da aiki,Sannu da aiki
Hi (at work),Hi (at work)
Sannu da hutawa,Sannu da hutawa
Hi (at resting),Hi (at resting)
Sannu da zuwa,Sannu da zuwa
Hi (on arriving),Hi (on arriving)
Barka da asuba,Barka da asuba
Greetings in the early morning,Greetings in the early morning
Barka da rana,Barka da rana
Greetings at midday,Greetings at midday
Barka da dare,Barka da dare
Greetings at night,Greetings at night
Barka da aiki,Barka da aiki
Greetings at work,Greetings at work
Sai an jima,Sai an jima
Until later,Until later
Sai wata rana,Sai wata rana
Until another day,Until another day
Sai gobe,Sai gobe
Until tomorrow,Until tomorrow
Mu kwana lafiya,Mu kwana lafiya
May we pass the night in good health,May we pass the night in good health
Allah ya ba mu alheri,Allah ya ba mu alheri
May Allah give us good fortune,May Allah give us good fortune
Sauka lafiya,Sauka lafiya
Arrive safely,Arrive safely
Sai ka dawo,Sai ka dawo
Until you come back (said to a man),Until you come back (said to a man)
Sai kin dawo,Sai kin dawo
Until you come back (said to a woman),Until you come back (said to a woman)
Barka kadai,Barka kadai
Greetings also,Greetings also
Amin,Amin
Amen,Amen
Yauwa,Yauwa
Right!,Right!
Allah ya sa,Allah ya sa
May Allah cause it (to be so),May Allah cause it (to be so)
A dawo lafiya,A dawo lafiya
May one come back in good health,May one come back in good health
"Yauwa, sannu","Yauwa, sannu"
"Right, hi","Right, hi"
"Gida, alhamdu lillahi","Gida, alhamdu lillahi"
"the household, praise be to Allah","the household, praise be to Allah"
Sunana Kristiana,Sunana Kristiana
My name is Kristiana,My name is Kristiana
Barka kadai,Barka kadai
Greetings also,Greetings also
Aiki da godiya,Aiki da godiya
Work is with thanks (to Allah),Work is with thanks (to Allah)
Yauwa,Yauwa
Right!,Right!
A dawo lafiya,A dawo lafiya
May one come back in good health,May one come back in good health
morphology,morphology
"study of words and world building (love, lover, lovable)","study of words and world building (love, lover, lovable)"
phonology,phonology
study of sounds of human language and their repetition; rules for the sounds you make when speaking,study of sounds of human language and their repetition; rules for the sounds you make when speaking
phonetics,phonetics
study of articulatory and acoustic property of sound; how to pronounce a word,study of articulatory and acoustic property of sound; how to pronounce a word
Syntax,Syntax
"word order, study of structure of languages","word order, study of structure of languages"
semantics,semantics
study of meaning and reference in language,study of meaning and reference in language
pragmatics,pragmatics
the study of effect of language on human behavior,the study of effect of language on human behavior
4 characteristics of languages,4 characteristics of languages
symbolicrule governedsubjectivedynamic and changing,symbolicrule governedsubjectivedynamic and changing
dialects,dialects
"same language spoken differently (regional, socio-economic, ethnic)","same language spoken differently (regional, socio-economic, ethnic)"
pidgin,pidgin
"contact or marginal language, often developed as a result of colonization (no native speakers, simple grammar)","contact or marginal language, often developed as a result of colonization (no native speakers, simple grammar)"
creole,creole
when pidgin language acquires native speakers and becomes permanent in a region,when pidgin language acquires native speakers and becomes permanent in a region
lingua franca,lingua franca
"trade language, used by common agreement (Swahili)","trade language, used by common agreement (Swahili)"
jargon,jargon
"technical vocabulary (medicine, computer)","technical vocabulary (medicine, computer)"
argot,argot
meaning of word is changed or reversed,meaning of word is changed or reversed
taboo,taboo
words/behaviors that are not appopriate,words/behaviors that are not appopriate
what is the Sapir-Whorf hypothesis?,what is the Sapir-Whorf hypothesis?
language determines culture,language determines culture
linguistics,linguistics
study of human language and how they use language as symbols,study of human language and how they use language as symbols
language reflects...,language reflects...
culture,culture
chronemics,chronemics
use of time in communication,use of time in communication
proxemics,proxemics
use of space in communication,use of space in communication
kinesics,kinesics
study of body movements and activities in communication,study of body movements and activities in communication
emblems,emblems
cues that have direct verbal counterparts,cues that have direct verbal counterparts
illustrators,illustrators
nonverbal messages used to reinforce or add to what is said verbally,nonverbal messages used to reinforce or add to what is said verbally
regulators,regulators
nonverbal messages used to influence or control others behavior (head nodding/eye contact),nonverbal messages used to influence or control others behavior (head nodding/eye contact)
adaptors,adaptors
body movements when we are in tense situations,body movements when we are in tense situations
monochronic people,monochronic people
"time is manageable, segmented, one task at a time, precise schedule, personal time and work separated","time is manageable, segmented, one task at a time, precise schedule, personal time and work separated"
polychronic people,polychronic people
"do not separate time into neat fixed segments, many tasks, loose schedule, personal time and work integrated","do not separate time into neat fixed segments, many tasks, loose schedule, personal time and work integrated"
