Front,Back
Nazo yoka pongi,Nazo yoka pongi
I am sleepy,I am sleepy
Yebisa ngay,Yebisa ngay
Tell me,Tell me
Pema,Pema
Reposer,Reposer
Bima libanda,Bima libanda
Get out,Get out
O zipi ngay,O zipi ngay
You are blocking me,You are blocking me
Eloko,Eloko
Something,Something
Eloko te,Eloko te
Nothing,Nothing
O lingi biloco mousousou ?,O lingi biloco mousousou ?
You want other products ?,You want other products ?
Telema,Telema
Debout et arrete,Debout et arrete
E Sukawana ?,E Sukawana ?
C'est fini ?,C'est fini ?
Zala eleki mingi,Zala eleki mingi
Jai trop faim,Jai trop faim
Na lingi ko zongela,Na lingi ko zongela
Je veux repeter,Je veux repeter
E tali yo te,E tali yo te
Ca te regarde pas,Ca te regarde pas
Sala mousala na yo,Sala mousala na yo
Fait ton travail,Fait ton travail
Na bimisa super glue,Na bimisa super glue
J'enleve le super glue,J'enleve le super glue
E tali ngay te,E tali ngay te
Ca me regarde pas,Ca me regarde pas
Ozo loba locouta,Ozo loba locouta
You are lying,You are lying
Pona nini ozo loba locouta ?,Pona nini ozo loba locouta ?
Why are you lying ?,Why are you lying ?
Pona nini o loba ki locouta ?,Pona nini o loba ki locouta ?
Why did you lie ?,Why did you lie ?
Pona nini o loba ki locouta ngay ?,Pona nini o loba ki locouta ngay ?
Why did you lie to me ?,Why did you lie to me ?
Ngay naza malamo. Boni yo ?,Ngay naza malamo. Boni yo ?
I am fine and you ?,I am fine and you ?
Akram a leki awa,Akram a leki awa
Akram passed by here,Akram passed by here
Akram a ko leka awa,Akram a ko leka awa
Akram will pass by here,Akram will pass by here
Ngay na ko sala,Ngay na ko sala
I can do it,I can do it
Sikoyo,Sikoyo
Right now,Right now
Ko zanga,Ko zanga
To miss,To miss
Ko sunga,Ko sunga
To help,To help
Ko kanisa,Ko kanisa
To remember,To remember
Ko tonda,Ko tonda
To be full,To be full
Ko teka,Ko teka
To sell,To sell
Ko sila,Ko sila
To finish,To finish
Ko silisa,Ko silisa
To finish it,To finish it
Ko lamba,Ko lamba
To cook,To cook
Ko koka,Ko koka
"Can, must, may","Can, must, may"
Ko tambola,Ko tambola
To walk,To walk
Ko kima,Ko kima
To run,To run
Ko somba,Ko somba
To buy,To buy
Matabisi,Matabisi
Gift,Gift
Ko pona,Ko pona
To choose,To choose
Ko beta,Ko beta
"To knock, to beat","To knock, to beat"
Ko longwa,Ko longwa
To leave,To leave
Ko longola,Ko longola
To leave something,To leave something
Ko zalana,Ko zalana
To have,To have
Ko benga,Ko benga
To call,To call
Ko futa,Ko futa
To pay,To pay
Ko tindika,Ko tindika
To push,To push
Ko bomba,Ko bomba
"To keep, to save","To keep, to save"
Ko tangisa,Ko tangisa
To teach,To teach
Ko lakisa,Ko lakisa
To show,To show
Ko benda,Ko benda
To pull,To pull
Ko senga,Ko senga
To ask,To ask
Ko tuna,Ko tuna
To demand,To demand
Ko seka,Ko seka
To laugh,To laugh
Boye,Boye
This,This
Ko lata,Ko lata
To put on,To put on
Ko bimisa,Ko bimisa
To put off,To put off
Sapato,Sapato
Shoes,Shoes
Bilamba,Bilamba
Cloths,Cloths
Ko leka,Ko leka
To pass,To pass
Ko bima,Ko bima
To switch off,To switch off
Ko pelisa,Ko pelisa
To switch on,To switch on
Mulango,Mulango
Porte,Porte
Mapa,Mapa
Bread,Bread
Soki,Soki
If,If
Molili,Molili
Dark,Dark
Mwindi,Mwindi
Light,Light
Tembe te,Tembe te
No doubt,No doubt
Mikolo,Mikolo
Stay,Stay
Kitoko ko leka,Kitoko ko leka
Enjoyable,Enjoyable
Tina moko te,Tina moko te
Useless,Useless
Ko bungisa,Ko bungisa
To Lose,To Lose
Ko sangisa,Ko sangisa
To mix,To mix
Ko meka,Ko meka
To try,To try
Ko koma,Ko koma
To arrive,To arrive
Ko boya,Ko boya
To refuse,To refuse
Ko wanagana,Ko wanagana
To deny,To deny
Ko sambela,Ko sambela
To pray,To pray
Ko suka,Ko suka
To end,To end
Ko kutana,Ko kutana
To meet,To meet
Ko yamba,Ko yamba
To receive,To receive
Ko ganga,Ko ganga
To shout,To shout
Mopaya,Mopaya
Guest,Guest
Ko outa,Ko outa
Come from,Come from
Moninga,Moninga
