Front,Back
AAVE (African American Vernacular English),AAVE (African American Vernacular English)
Dialect spoken by many African Americans around the US- covert prestige,Dialect spoken by many African Americans around the US- covert prestige
Does AAVE have rules,Does AAVE have rules
Yes,Yes
Double negatives,Double negatives
- They are not illogical- They have rules and they are fine to use- Used in prestigious and non prestigious varieties,- They are not illogical- They have rules and they are fine to use- Used in prestigious and non prestigious varieties
Consonant cluster reductions,Consonant cluster reductions
Reducing a combination of consonant sounds to just one- e.g.'pider' for 'spider'- Marked feature - AAVE USED IT AT THE END OF SENTENCE = considered BAD because you can hear it- Everyone does it,Reducing a combination of consonant sounds to just one- e.g.'pider' for 'spider'- Marked feature - AAVE USED IT AT THE END OF SENTENCE = considered BAD because you can hear it- Everyone does it
Standard Plural rule,Standard Plural rule
"Concant cluster pronounced as tes → so plural of ""tes"" is ""tesses""- Follows same plural rule, just a consonant cluster","Concant cluster pronounced as tes → so plural of ""tes"" is ""tesses""- Follows same plural rule, just a consonant cluster"
Dental stopping,Dental stopping
"- Dat/ Tis- Differences in voiced and unvoiced throat sounds- Most languages do not have the ""th"" sound","- Dat/ Tis- Differences in voiced and unvoiced throat sounds- Most languages do not have the ""th"" sound"
Verbal aspects,Verbal aspects
- Invariant BE = habitual state- Null BE = ongoing- Similar to ser/estar in spanish- Standard English has 2 aspects- AAVE has 5 aspects,- Invariant BE = habitual state- Null BE = ongoing- Similar to ser/estar in spanish- Standard English has 2 aspects- AAVE has 5 aspects
"""She BE working""","""She BE working"""
habitual state (they just be doing that),habitual state (they just be doing that)
"""She working""","""She working"""
ongoing (current),ongoing (current)
What is an aspect?,What is an aspect?
Shows how an action happened,Shows how an action happened
Why do people use AAVE?,Why do people use AAVE?
Covert prestige,Covert prestige
Most likely origin of AAVE,Most likely origin of AAVE
"It began as a creole from the Caribbean --> that decreolized then hyper-creolized - Covert prestige, using it more to make sure it is not lost in order to sound different from the standard- Creoles have advanced aspect systems too","It began as a creole from the Caribbean --> that decreolized then hyper-creolized - Covert prestige, using it more to make sure it is not lost in order to sound different from the standard- Creoles have advanced aspect systems too"
Origin of AAVE 2,Origin of AAVE 2
It began as a dialect of English- AAVE has marked features- Change is not in the whole population- Vocabulary is EnglishPROBLEMS:- Verbal aspects do not match English - AAVE and english are currently changing together,It began as a dialect of English- AAVE has marked features- Change is not in the whole population- Vocabulary is EnglishPROBLEMS:- Verbal aspects do not match English - AAVE and english are currently changing together
Origin of AAVE 3,Origin of AAVE 3
Began as an African language- Some vocab matches African lang.- African lang tend to have more aspect systemsPROBLEMS:- We dont know which African lang- None really match AAVE features- There was no wide languages spoken by all slaves,Began as an African language- Some vocab matches African lang.- African lang tend to have more aspect systemsPROBLEMS:- We dont know which African lang- None really match AAVE features- There was no wide languages spoken by all slaves
Contrastive analysis,Contrastive analysis
The systematic study of a pair of languages with a view to identifying their structural differences and similarities.,The systematic study of a pair of languages with a view to identifying their structural differences and similarities.
"Why might some people consider AAVE inappropriate for interviews, high government office, or higher education?","Why might some people consider AAVE inappropriate for interviews, high government office, or higher education?"
There is a socio-cultural norm that AAVE is not used in these circumstances (aka: as a formal style),There is a socio-cultural norm that AAVE is not used in these circumstances (aka: as a formal style)
Why cant the speakers of AAVE make it its own language?,Why cant the speakers of AAVE make it its own language?
The people who speak AAVE don't have enough power/prestige for their variety to be considered a separate language.,The people who speak AAVE don't have enough power/prestige for their variety to be considered a separate language.
"The sentence ""He nice"" means:","The sentence ""He nice"" means:"
"He just said something very nice, but he isn't necessarily nice all the time.","He just said something very nice, but he isn't necessarily nice all the time."
Why is the invariant BE (ex: He be happy) used in AAVE?,Why is the invariant BE (ex: He be happy) used in AAVE?
"The invariant BE indicates the habitual aspect so the sentence doesn't just mean ""He is happy.""","The invariant BE indicates the habitual aspect so the sentence doesn't just mean ""He is happy."""
"The AAVE sentence ""He nice"" is equivalent to the Standard American English sentence ""He is nice."" In other words, the AAVE sentence is formed by deleting ""is"" from the SAE sentence.","The AAVE sentence ""He nice"" is equivalent to the Standard American English sentence ""He is nice."" In other words, the AAVE sentence is formed by deleting ""is"" from the SAE sentence."
False,False
The grammar of AAVE heavily resembles African languages.,The grammar of AAVE heavily resembles African languages.
False,False
Which of the following is hypercreolization?,Which of the following is hypercreolization?
Speakers of a language that had once been the superstratum of a now unused creole changing the grammar of the superstratum to more heavily resemble the creole that is no longer spoken.,Speakers of a language that had once been the superstratum of a now unused creole changing the grammar of the superstratum to more heavily resemble the creole that is no longer spoken.
